sub-sector,inventory,sub_inventory,subinv_ipcc_code,subinv_units,values,gas output,notes
other-energy-use,climate-trace,climate-trace,1.A.1.a.i; 1.A.1.a.ii,electricity-generation,-1,CO2,
other-energy-use,edgar,edgar,1.A.1.a,Main Activity Electricity and Heat Production,1,CO2,
railways,edgar,edgar,1.A.3.c ,Railways,1,CO2,
road-transportation,edgar,edgar,1.A.3.b_noRES,Road Transportation no resuspension,1,CO2,
other-transport,edgar,edgar,1.A.3.a,Civil Aviation,1,CO2,
other-transport,edgar,edgar,1.A.3.d,Water-borne Navigation,1,CO2,
other-transport,edgar,edgar,1.A.3.e,Other Transportation,1,CO2,
other-transport,climate-trace,climate-trace,1.A.3.a,domestic-aviation,-1,CO2,
other-transport,climate-trace,climate-trace,NUMBER,international-aviation,-1,CO2,
residential-and-commercial-onsite-fuel-usage',edgar,edgar,1.A.4,Other Sectors,1,CO2,
other-onsite-fuel-usage,edgar,edgar,1.A.5,Non-Specified,1,CO2,
solid-fuel-transformation,edgar,edgar,1.B.1,Solid Fuels,1,CO2,
solid-fuel-transformation,edgar,edgar,1.B.1.a,coal-mining,-1,CO2,
other-fossil-fuel-operations,edgar,edgar,1.B.2,Oil and Natural Gas,1,CO2,
other-fossil-fuel-operations,edgar,edgar,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,1,CO2,
other-fossil-fuel-operations,climate-trace,climate-trace,1.B.2.a.i; 1.B.2.a.ii; 1.B.2.a.iii; 1.B.2.b.i; 1.B.2.b.ii; 1.B.2.c,oil-and-gas-production-and-transport,-1,CO2,
other-fossil-fuel-operations,climate-trace,climate-trace,1.B.2.a.iv; 1.B.2.a.v; 1.B.2.b.iii; 1.B.2.b.v,oil-and-gas-refining,-1,CO2,
other-manufacturing,edgar,edgar,1.A.2,Manufacturing Industries and Construction,1,CO2,"** note that other manufacturing might have a portion of ""other-mineral-extraction') "
other-manufacturing,edgar,edgar,2.A.1,Cement production,1,CO2,"** note that other manufacturing might have a portion of ""other-mineral-extraction') "
other-manufacturing,edgar,edgar,2.A.2,Lime production,1,CO2,"** note that other manufacturing might have a portion of ""other-mineral-extraction') "
other-manufacturing,edgar,edgar,2.A.3 ,Glass Production,1,CO2,"** note that other manufacturing might have a portion of ""other-mineral-extraction') "
